1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,value,iso3,lat,lon,name,name_de
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.802,AFG1,48.86,2.35,deliv.leboncoin.fr,deliv.leboncoin.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.312,AFG2,48.86,2.35,logc153.xiti.com,logc153.xiti.com
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.829,AFG3,48.8667,2.3333,static.leboncoin.fr,static.leboncoin.fr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.023,AFG4,48.86,2.35,www.leboncoin.fr,www.leboncoin.fr
